bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-103,"Kennedy, Edward M.",01377,NA,MA,NA,TRUE,FALSE,1993-01-21,NA
s1-103,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Dodd, Christopher J.",00302,NA,CT,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Durenberger, Dave",01321,NA,MN,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Harkin, Tom",00501,NA,IA,NA,FALSE,FALSE,1993-02-02,NA
s1-103,"Hatch, Orrin G.",01351,NA,UT,NA,FALSE,FALSE,1993-02-02,NA
s1-103,"Inouye, Daniel K.",01369,NA,HI,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Kassebaum, Nancy Landon",01375,NA,KS,NA,FALSE,FALSE,1993-02-02,NA
s1-103,"Kerry, John F.",01379,NA,MA,NA,FALSE,FALSE,1993-05-20,NA
s1-103,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Leahy, Patrick J.",01383,NA,VT,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Levin, Carl",01384,NA,MI,NA,FALSE,FALSE,1993-01-26,NA
s1-103,"Metzenbaum, Howard M.",01400,NA,OH,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Mikulski, Barbara A.",00802,NA,MD,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Moseley-Braun, Carol",01405,NA,IL,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Pell, Claiborne",01417,NA,RI,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Riegle, Donald W., Jr.",00961,NA,MI,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Rockefeller, John D., IV",01424,NA,WV,NA,FALSE,FALSE,1993-02-02,NA
s1-103,"Sarbanes, Paul S.",01017,NA,MD,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Simon, Paul",01059,NA,IL,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Wellstone, Paul D.",01454,NA,MN,NA,FALSE,FALSE,1993-01-21,NA
s1-103,"Wofford, Harris",01457,NA,PA,NA,FALSE,FALSE,1993-01-21,NA
s10-103,"Craig, Larry E.",00246,NA,ID,NA,TRUE,FALSE,1993-01-21,NA
s10-103,"Bennett, Robert F.",01280,NA,UT,NA,FALSE,FALSE,1993-02-02,NA
s10-103,"Burns, Conrad R.",01298,NA,MT,NA,FALSE,FALSE,1993-01-21,NA
s10-103,"Cochran, Thad",00213,NA,MS,NA,FALSE,FALSE,1993-02-02,NA
s10-103,"Dole, Robert J.",01318,NA,KS,NA,FALSE,FALSE,1993-01-21,NA
s10-103,"Domenici, Pete V.",01319,NA,NM,NA,FALSE,FALSE,1993-02-02,NA
s10-103,"Grassley, Chuck",00457,NA,IA,NA,FALSE,FALSE,1993-01-21,NA
s10-103,"Hatch, Orrin G.",01351,NA,UT,NA,FALSE,FALSE,1993-01-21,NA
